Speaker,Spoken to,Dialogue
Dolores Umbridge,Hermione Granger,"Hmm, let's see, five points from Gryffindor for coming in late."
Dolores Umbridge,Hermione Granger,"Now, as I was saying before Mr. Potter interrupted with his antics, your Defense Against the Dark Arts education has been rather fragmented and disjointed in your past classes, hasn't it? I will be following a pre-approved Ministry-prepared, theory-centered Defense lesson plan."
Dolores Umbridge,Hermione Granger,Copy this down.
Dolores Umbridge,Hermione Granger,Yes?
Hermione Granger,Dolores Umbridge,I wanted to know something about your course aims.
Dolores Umbridge,Hermione Granger,"Well, they should be perfectly self- evident."
Hermione Granger,Dolores Umbridge,"Well, I don't think they are. They say nothing about actually doing spells."
Dolores Umbridge,Hermione Granger,"I can imagine no circumstances in my class where you would need to use spells, my dear!"
Hermione Granger,Dolores Umbridge,But surely the whole point of Defense against the dark arts is practical application?
Dolores Umbridge,Hermione Granger,"Miss Granger, this class has been approved by Ministry experts. Are you a Ministry Expert?"
Hermione Granger,Dolores Umbridge,"No, but-"
Dolores Umbridge,Hermione Granger,"Then you have no business challenging those who are. We will be learning about spells in a safe, risk-free environment-"
Hermione Granger,Dolores Umbridge,But we've got O.W.L.s coming up! You expect us to do the spells with no practice?
Harry Potter,Dolores Umbridge,What good's theory in the real world? What about Lord Voldemort?
Dolores Umbridge,Harry Potter,"This is school, not the real world, Mr.Potter. There is nothing out there waiting to get you."
Harry Potter,Dolores Umbridge,What about Lord Voldemort?
Dolores Umbridge,Harry Potter,"Ten points from Gryffindor, Mr. Potter. Let me set the record straight."
Dolores Umbridge,Everybody,Some of you have been told that a certain dead wizard has returned. This is a lie.
Harry Potter,Dolores Umbridge,It-is-NOT-a-LIE!
Dolores Umbridge,Harry Potter,"Mr. Potter, you have just landed yourself in detention!"
Harry Potter,Dolores Umbridge,"So, according to you, Cedric Diggory dropped dead? Or are you calling me a murderer?"
Dolores Umbridge,Harry Potter,The boy's death was a tragic accident.
Harry Potter,Dolores Umbridge,It was MURDER! I saw it happen!
Dolores Umbridge,Harry Potter,"Mr Potter, you have earned yourself a week's worth of detentions!"
Harry Potter,Dolores Umbridge,"Yeah, talk to somebody who cares. Voldemort killed Cedric, and you know it."
Dolores Umbridge,Harry Potter,"That goes to Professor McGonagall, dear."
Minerva McGonagall,Harry Potter,Is this true? Did you shout at Professor Umbridge?
Harry Potter,Minerva McGonagall,"Yeah. But she called me a liar! Yes, Professor."
Minerva McGonagall,Harry Potter,"My dear boy, do use yourr common sense! Umbridge is directly reporting to Fudge. She is here to… interfere… with Dumbledore. And things could get much worse, trust me. Use caution, always, Potter. Do not mess with Dolorus Umbridge, she is dangerous. The Order's hands are tied at Hogwarts, Harry. If you get too deep into trouble, we may not be able to get you out. Do you understand?"
Harry Potter,Minerva McGonagall,"Yes, Professor."
Minerva McGonagall,Harry Potter,Good. Off you go.
Hermione Granger,Ron Weasley,How can Dumbledore let that horrible woman teach? And when we're taking our OWL tests too!
Ron Weasley,Hermione Granger,You reckon she's here to spy on us?
Hermione Granger,Ron Weasley,"Well, not us specifically, but definitely Dumbledore and the Order."
