Speaker,Spoken to,Dialogue
Albus Dumbledore,Harry Potter,"There is only the end of the prophesy which we haven't addressed. It states ""neither can live while the other survives."" "
Albus Dumbledore,Harry Potter,"It is the final burden which I must place on you, Harry."
Harry Potter,Albus Dumbledore,One of us has to kill the other...in the end.
Albus Dumbledore,Harry Potter,Yes.
Nearly Headless Nick,Harry Potter,"Hello, Harry."
Harry Potter,Nearly Headless Nick,"Hey, Nick."
Nearly Headless Nick,Harry Potter,"I--Well, Madam Pomfrey asked me to tell you that Hermione and Ron are out of the hospital wing."
Harry Potter,Nearly Headless Nick,Oh. Thanks. 
Harry Potter,Nearly Headless Nick,"Nick, I was wondering about something?"
Nearly Headless Nick,Harry Potter,I've been expecting this...
Harry Potter,Nearly Headless Nick,Expecting what?
Nearly Headless Nick,Harry Potter,A lot of people come to me when they've lost loved ones.
Harry Potter,Nearly Headless Nick,I expect so...
Nearly Headless Nick,Harry Potter,"He's not coming back, Harry."
Nearly Headless Nick,Harry Potter,Few wizards choose the path I have chosen.
Harry Potter,Nearly Headless Nick,Why?
Nearly Headless Nick,Harry Potter,"I am neither here nor there, Harry. Trapped between two worlds. That does not appeal to most."
Nearly Headless Nick,Harry Potter,"I know nothing of the secrets of death, Harry. I was afraid of it. I preferred to survive as a feeble imitation of life than face the vast unknown."
Nearly Headless Nick,Harry Potter,I often wonder if that was a wise decision.
Nearly Headless Nick,Harry Potter,"I'm sorry I couldn't be of more help, Harry. Truly I am."
Hermione Granger,Harry Potter,Harry!
Harry Potter,Ron Weasley,How are you?
Ron Weasley,Harry Potter,"Good as new, mate."
Hermione Granger,Harry Potter,"How are you doing, Harry?"
Harry Potter,Hermione Granger,Better.
Hermione Granger,Harry Potter,"Come on, let's go in to the feast."
Harry Potter,Hermione Granger,You two go on. I want to be alone for a while.
Harry Potter,Hermione Granger,I've got something to tell you. Something important.
Harry Potter,Hermione Granger, But not right now. I'm not ready.
Hermione Granger,Harry Potter,"Take your time, Harry. We'll be here when you are."
Luna Lovegood,Harry Potter,"Hello, Harry."
Luna Lovegood,Harry Potter, It's the last night and I need to pack. 
Luna Lovegood,Harry Potter,"Oh, people take my things and hide them. "
Luna Lovegood,Harry Potter,"I don't think they like me much. Some of them call me ""Loony"" Lovegood."
Harry Potter,Luna Lovegood,Do you need any help looking?
Luna Lovegood,Harry Potter,Oh no. It all turns up in the end. 
Luna Lovegood,Harry Potter,Sirius Black. Hermione said he was your Godfather.
Harry Potter,Luna Lovegood,Yeah.
Harry Potter,Luna Lovegood,Hav you ever… you know…
Luna Lovegood,Harry Potter,My mother. I was nine.
Harry Potter,Luna Lovegood,I'm sorry.
Luna Lovegood,Harry Potter,It's okay. It's not like I'll never see her again.
Harry Potter,Luna Lovegood,Isn't it?
Luna Lovegood,Harry Potter,Don't tell me you didn't hear them. The voices beyond the Veil? 
Luna Lovegood,Harry Potter,"They were just out of sight, that's all. "
Harry Potter,Luna Lovegood,You mean we'll see them again?
Luna Lovegood,Harry Potter,Of course. 
Luna Lovegood,Harry Potter,"Things always work out, in the end."
Luna Lovegood,Harry Potter,"Anyway, my mum always said the things we lose have a way of coming back to us in the end. If not always in the way we expect. Think I'll just go have some pudding."
Harry Potter,Hermione Granger,I've been thinking about something Dumbledore said to me.
Hermione Granger,Harry Potter,What's that ?
Harry Potter,Hermione Granger,That even though we've got a fight ahead of us we've got one thing that Voldemort doesn't have.
Ron Weasley,Harry Potter,Yeah ?
Harry Potter,Ron Weasley,Something worth fighting for
